movie_id,Crime,Drama,Comedy,Action,Thriller,Adventure,Science Fiction,Animation,Family,Romance,Mystery,Music,Horror,Fantasy,Documentary,War,Western,History,Foreign,TV Movie,imdb_id,popularity,release_date,vote_average,vote_count,revenue,budget,Cast 1,Cast 2,Production,Month,Year,Error
339988,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4287320,88.439243,2017-04-27,5.4,1015.0,40656399,18000000,1.0,2.0,1,4,2017,1
339988,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4287320,88.439243,2017-04-27,5.4,1015.0,40656399,18000000,1.0,2.0,1,4,2017,1
340101,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt1661275,17.958512,2017-04-06,7.1,64.0,12597262,10000000,1.0,1.0,2,4,2017,1
340101,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt1661275,17.958512,2017-04-06,7.1,64.0,12597262,10000000,1.0,1.0,1,4,2017,1
340101,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt1661275,17.958512,2017-04-06,7.1,64.0,12597262,10000000,1.0,1.0,1,4,2017,1
340101,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt1661275,17.958512,2017-04-06,7.1,64.0,12597262,10000000,1.0,1.0,1,4,2017,1
340101,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt1661275,17.958512,2017-04-06,7.1,64.0,12597262,10000000,1.0,1.0,1,4,2017,1
340101,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt1661275,17.958512,2017-04-06,7.1,64.0,12597262,10000000,1.0,1.0,1,4,2017,1
340402,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4649416,7.288877,2016-11-11,5.4,195.0,42580920,17000000,1.0,1.0,4,11,2016,1
340402,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4649416,7.288877,2016-11-11,5.4,195.0,42580920,17000000,1.0,1.0,1,11,2016,1
340666,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4550098,18.908782,2016-11-04,7.2,1990.0,30311857,22500000,1.0,1.0,4,11,2016,1
340666,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4550098,18.908782,2016-11-04,7.2,1990.0,30311857,22500000,1.0,1.0,1,11,2016,1
340666,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4550098,18.908782,2016-11-04,7.2,1990.0,30311857,22500000,1.0,1.0,1,11,2016,1
340676,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt4714782,11.186981,2016-10-19,5.8,239.0,2840408,6000000,1.0,1.0,1,10,2016,1
340676,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt4714782,11.186981,2016-10-19,5.8,239.0,2840408,6000000,1.0,1.0,1,10,2016,1
340676,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt4714782,11.186981,2016-10-19,5.8,239.0,2840408,6000000,1.0,1.0,1,10,2016,1
340676,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt4714782,11.186981,2016-10-19,5.8,239.0,2840408,6000000,1.0,1.0,1,10,2016,1
340676,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt4714782,11.186981,2016-10-19,5.8,239.0,2840408,6000000,1.0,1.0,1,10,2016,1
340676,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt4714782,11.186981,2016-10-19,5.8,239.0,2840408,6000000,1.0,1.0,1,10,2016,1
340677,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2679552,21.815354,2016-09-09,5.3,198.0,2128301,11250379,1.0,1.0,3,9,2016,1
340677,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2679552,21.815354,2016-09-09,5.3,198.0,2128301,11250379,1.0,1.0,1,9,2016,1
340677,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2679552,21.815354,2016-09-09,5.3,198.0,2128301,11250379,1.0,1.0,1,9,2016,1
340677,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2679552,21.815354,2016-09-09,5.3,198.0,2128301,11250379,1.0,1.0,1,9,2016,1
340677,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2679552,21.815354,2016-09-09,5.3,198.0,2128301,11250379,1.0,1.0,1,9,2016,1
340677,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2679552,21.815354,2016-09-09,5.3,198.0,2128301,11250379,1.0,1.0,1,9,2016,1
340837,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,tt4731136,13.28436,2017-02-15,6.0,939.0,26620002,40000000,1.0,1.0,2,2,2017,1
340837,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,tt4731136,13.28436,2017-02-15,6.0,939.0,26620002,40000000,1.0,1.0,1,2,2017,1
340837,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,tt4731136,13.28436,2017-02-15,6.0,939.0,26620002,40000000,1.0,1.0,1,2,2017,1
340837,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,tt4731136,13.28436,2017-02-15,6.0,939.0,26620002,40000000,1.0,1.0,1,2,2017,1
340837,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,tt4731136,13.28436,2017-02-15,6.0,939.0,26620002,40000000,1.0,1.0,1,2,2017,1
340945,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tt2032572,13.417585,2016-09-22,6.0,124.0,2158568,40000000,2.0,1.0,1,9,2016,1
340945,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tt2032572,13.417585,2016-09-22,6.0,124.0,2158568,40000000,2.0,1.0,1,9,2016,1
340945,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tt2032572,13.417585,2016-09-22,6.0,124.0,2158568,40000000,2.0,1.0,1,9,2016,1
340945,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tt2032572,13.417585,2016-09-22,6.0,124.0,2158568,40000000,2.0,1.0,1,9,2016,1
341006,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt1082807,15.352467,2016-03-17,6.1,269.0,11084630,5000000,1.0,1.0,4,3,2016,1
341006,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt1082807,15.352467,2016-03-17,6.1,269.0,11084630,5000000,1.0,1.0,2,3,2016,1
341006,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt1082807,15.352467,2016-03-17,6.1,269.0,11084630,5000000,1.0,1.0,1,3,2016,1
341006,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt1082807,15.352467,2016-03-17,6.1,269.0,11084630,5000000,1.0,1.0,1,3,2016,1
341006,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt1082807,15.352467,2016-03-17,6.1,269.0,11084630,5000000,1.0,1.0,1,3,2016,1
341006,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tt1082807,15.352467,2016-03-17,6.1,269.0,11084630,5000000,1.0,1.0,1,3,2016,1
341013,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2406566,14.455104,2017-07-26,6.1,748.0,100121713,30000000,1.0,1.0,1,7,2017,1
341013,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2406566,14.455104,2017-07-26,6.1,748.0,100121713,30000000,1.0,1.0,1,7,2017,1
341013,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2406566,14.455104,2017-07-26,6.1,748.0,100121713,30000000,1.0,1.0,1,7,2017,1
341013,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2406566,14.455104,2017-07-26,6.1,748.0,100121713,30000000,1.0,1.0,1,7,2017,1
341174,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt4465564,29.130443,2017-02-08,6.0,2341.0,381545846,55000000,1.0,1.0,4,2,2017,1
342473,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,tt2261287,16.53732,2016-12-14,7.1,415.0,106127278,30000000,1.0,1.0,1,12,2016,1
342473,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,tt2261287,16.53732,2016-12-14,7.1,415.0,106127278,30000000,1.0,1.0,1,12,2016,1
342737,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4385888,9.855927,2016-12-25,7.3,213.0,7214806,7000000,1.0,1.0,1,12,2016,1
342737,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4385888,9.855927,2016-12-25,7.3,213.0,7214806,7000000,1.0,1.0,1,12,2016,1
